Profit,Transaction ID,Product ID,Date,Brand,Product Line,Product Class,Size,Customer ID,Address,Postcode,State,Property Value
709.34,20,25,28-01-2017,Giant Bicycles,Road,medium,medium,3002,673 Comanche Parkway,2470,NSW,2
110.81,21,27,09-10-2017,Trek Bicycles,Standard,medium,medium,1582,85301 John Wall Road,2101,NSW,11
1544.61,22,37,29-06-2017,OHM Cycles,Standard,low,medium,595,0278 Elka Place,4305,QLD,4
1544.61,23,37,08-04-2017,OHM Cycles,Standard,low,medium,2001,3 Bonner Point,2800,NSW,4
709.34,24,82,18-10-2017,Giant Bicycles,Road,medium,medium,515,12845 Paget Lane,2026,NSW,12
1305.25,25,89,11-06-2017,WeareA2B,Touring,medium,large,2822,99216 Oakridge Hill,3124,VIC,12
872.89,26,64,10-01-2017,Trek Bicycles,Standard,medium,large,2596,33782 Doe Crossing Terrace,2280,NSW,7
872.89,27,64,11-04-2017,Trek Bicycles,Standard,medium,large,2666,0 Knutson Crossing,2151,NSW,8
114.93,28,19,23-12-2017,Trek Bicycles,Mountain,low,medium,76,439 Ridgeway Court,4213,QLD,9
90.1,29,72,13-10-2017,Norco Bicycles,Standard,medium,medium,3368,2 Roxbury Place,2564,NSW,8
128.46,30,91,15-03-2017,WeareA2B,Standard,low,medium,1173,71 Cherokee Hill,2127,NSW,7
817.36,31,88,05-09-2017,Norco Bicycles,Standard,medium,medium,2810,453 Gina Avenue,3141,VIC,8
448.68,32,1,18-02-2017,Giant Bicycles,Standard,medium,medium,3214,050 Monterey Street,4869,QLD,3
709.34,33,25,20-03-2017,Giant Bicycles,Road,medium,medium,1272,26 Portage Junction,4503,QLD,5
189.28,34,99,28-02-2017,Trek Bicycles,Road,low,small,2003,064 Fallview Terrace,4500,QLD,7
167.21,35,0,20-08-2017,Norco Bicycles,Road,medium,medium,2171,6 Tennyson Place,2138,NSW,9
155.65,36,92,07-07-2017,WeareA2B,Standard,medium,small,3356,73 Burrows Court,3121,VIC,8
737.17,37,14,09-01-2017,Solex,Standard,high,large,1040,27135 Melvin Plaza,4556,QLD,8
17.87,38,2,06-12-2017,Solex,Standard,medium,medium,2916,2 Blue Bill Park Lane,4220,QLD,8
1069.55,39,12,12-09-2017,WeareA2B,Standard,medium,medium,427,1 Carey Pass,2065,NSW,11
167.21,40,0,28-11-2017,Norco Bicycles,Road,medium,medium,2448,11 Dunning Pass,2219,NSW,10
1660.88,41,44,08-05-2017,WeareA2B,Standard,medium,medium,2570,457 Merry Pass,4812,QLD,3
1408.91,42,79,14-05-2017,Solex,Touring,medium,large,3398,375 Luster Parkway,2147,NSW,9
128.46,43,76,17-03-2017,WeareA2B,Standard,low,medium,488,4671 Buell Trail,3564,VIC,2
1215.34,44,46,22-12-2017,Solex,Standard,low,medium,165,22371 Miller Trail,2032,NSW,10
1295.43,45,55,07-06-2017,Trek Bicycles,Road,medium,large,2787,3 Cordelia Place,3018,VIC,9
574.62,46,66,20-06-2017,Solex,Standard,medium,medium,3053,274 Ludington Trail,2428,NSW,5
903.11,47,35,07-05-2017,Trek Bicycles,Standard,low,medium,475,781 Dorton Avenue,3012,VIC,10
502.47,48,81,10-06-2017,Solex,Standard,medium,medium,1305,3 School Place,4124,QLD,4
110.56,49,86,17-06-2017,OHM Cycles,Standard,medium,medium,1251,6 Lerdahl Plaza,4519,QLD,6
431.33,50,32,10-05-2017,Giant Bicycles,Standard,medium,medium,3103,32304 Larry Road,4014,QLD,7
445.21,51,77,24-03-2017,Norco Bicycles,Road,medium,large,3108,1742 Scott Center,4670,QLD,2
641.64,52,96,27-11-2017,Giant Bicycles,Standard,medium,large,857,18 Parkside Plaza,4122,QLD,4
91.15,53,6,21-12-2017,OHM Cycles,Standard,high,medium,3455,757 Debs Avenue,4670,QLD,4
110.81,54,27,09-02-2017,Trek Bicycles,Standard,medium,medium,2549,01 Burning Wood Terrace,2323,NSW,9
72.6,55,0,18-09-2017,Norco Bicycles,Standard,low,medium,3140,3 Canary Center,2040,NSW,10
189.28,56,47,14-11-2017,Trek Bicycles,Road,low,small,3406,5 Northland Plaza,2096,NSW,9
641.64,57,94,30-08-2017,Giant Bicycles,Standard,medium,large,2294,7 Melrose Circle,4017,QLD,5
25.09,58,91,14-11-2017,Solex,Standard,medium,medium,1031,65634 Del Mar Crossing,4053,QLD,7
583.27,59,93,15-02-2017,OHM Cycles,Standard,high,medium,993,84019 Porter Trail,2871,NSW,3
217.51,60,60,18-12-2017,Giant Bicycles,Standard,high,small,3473,7279 Steensland Circle,3803,VIC,7
4.8,61,0,24-02-2017,OHM Cycles,Road,high,large,1839,734 South Court,4152,QLD,8
144.26,62,33,18-12-2017,Giant Bicycles,Standard,medium,small,1824,2364 Dovetail Way,3048,VIC,6
448.68,63,35,17-12-2017,Giant Bicycles,Standard,medium,medium,368,382 Maywood Parkway,4127,QLD,6
110.81,64,0,08-07-2017,Trek Bicycles,Standard,medium,medium,2000,59170 Westridge Junction,2147,NSW,8
133.78,65,28,16-05-2017,Norco Bicycles,Standard,medium,small,825,8640 Village Junction,2066,NSW,12
110.56,66,86,23-02-2017,OHM Cycles,Standard,medium,medium,3315,6 North Court,3862,VIC,7
17.87,67,2,03-07-2017,Solex,Standard,medium,medium,75,4763 Merchant Avenue,2756,NSW,8
451.65,68,4,30-09-2017,Giant Bicycles,Standard,high,medium,1498,40 Dexter Crossing,2250,NSW,9
1702.55,69,38,21-10-2017,Trek Bicycles,Standard,medium,large,1612,84504 Doe Crossing Road,2441,NSW,4
110.81,70,27,06-05-2017,Trek Bicycles,Standard,medium,medium,2192,3 Thierer Plaza,4815,QLD,1
1279.4,71,54,03-01-2017,WeareA2B,Standard,medium,medium,419,7526 Artisan Parkway,4223,QLD,8
1660.88,72,77,09-05-2017,WeareA2B,Standard,medium,medium,3307,1172 Mesta Center,4740,QLD,2
15.08,73,22,23-07-2017,WeareA2B,Standard,medium,medium,2430,57769 Gulseth Lane,2040,NSW,10
45.96,74,56,21-01-2017,OHM Cycles,Standard,medium,medium,1506,6 Canary Plaza,2223,NSW,8
771.12,75,58,20-06-2017,OHM Cycles,Standard,medium,medium,1346,5 Springview Terrace,3620,VIC,4
15.08,76,22,10-03-2017,WeareA2B,Standard,medium,medium,927,2309 Gulseth Way,3199,VIC,8
43.97,77,50,02-06-2017,WeareA2B,Standard,medium,small,763,08 Vidon Center,2143,NSW,5
139.23,78,80,07-11-2017,OHM Cycles,Touring,low,medium,2397,44083 Village Court,2142,NSW,7
471.6,79,87,12-09-2017,Giant Bicycles,Standard,high,medium,102,55850 Butterfield Road,2168,NSW,9
209.84,80,15,16-12-2017,Norco Bicycles,Standard,low,medium,2884,8369 Golf Court,2777,NSW,9
198.22,81,84,07-10-2017,Giant Bicycles,Road,medium,medium,759,4 Vahlen Junction,2227,NSW,10
690.49,82,21,27-04-2017,Solex,Standard,medium,large,773,88 Bay Drive,4305,QLD,3
110.56,83,0,01-04-2017,OHM Cycles,Standard,medium,medium,3398,375 Luster Parkway,2147,NSW,9
144.26,84,33,02-11-2017,Giant Bicycles,Standard,medium,small,3297,50 Declaration Junction,3213,VIC,6
75.48,85,84,13-02-2017,Trek Bicycles,Road,medium,medium,2434,1966 Glendale Avenue,4207,QLD,4
448.68,86,1,19-07-2017,Giant Bicycles,Standard,medium,medium,1861,7939 Toban Crossing,2770,NSW,7
110.81,87,27,23-05-2017,Trek Bicycles,Standard,medium,medium,1233,26 Lotheville Court,2085,NSW,11
547.28,88,31,06-08-2017,WeareA2B,Standard,medium,medium,1390,02701 Talmadge Junction,3082,VIC,7
4.8,89,0,04-04-2017,OHM Cycles,Road,high,large,2682,446 Warrior Pass,4740,QLD,5
179.44,90,62,15-08-2017,Solex,Standard,medium,medium,439,8788 Armistice Trail,3806,VIC,8
409.86,91,17,15-04-2017,Solex,Standard,high,medium,1579,82 Hanover Avenue,2101,NSW,10
1612.25,92,73,25-07-2017,Solex,Standard,medium,medium,2984,0 Hayes Hill,2106,NSW,11
144.26,93,33,28-11-2017,Giant Bicycles,Standard,medium,small,3470,176 Sutteridge Alley,3121,VIC,11
110.56,94,86,23-12-2017,OHM Cycles,Standard,medium,medium,1,060 Morning Avenue,2016,NSW,10
356.5,95,45,26-02-2017,Solex,Standard,medium,medium,757,195 Knutson Place,4019,QLD,8
448.68,96,1,21-02-2017,Giant Bicycles,Standard,medium,medium,1778,8 Vermont Pass,3930,VIC,9
139.23,97,80,31-05-2017,OHM Cycles,Touring,low,medium,211,78 Rockefeller Park,2159,NSW,10
133.38,98,49,23-06-2017,Trek Bicycles,Road,medium,medium,333,314 Northland Plaza,4213,QLD,5
41.13,99,95,26-03-2017,Giant Bicycles,Standard,medium,large,32,2951 Petterle Place,2756,NSW,9
179.44,100,0,31-07-2017,Solex,Standard,medium,medium,119,5814 Bunker Hill Street,3070,VIC,7
459.46,101,18,27-07-2017,Norco Bicycles,Standard,high,medium,2347,1081 Laurel Park,2049,NSW,12
451.65,102,4,14-04-2017,Giant Bicycles,Standard,high,medium,2353,22774 Pennsylvania Hill,2262,NSW,6
144.26,103,33,12-11-2017,Giant Bicycles,Standard,medium,small,788,00 Mockingbird Junction,2141,NSW,9
1055.82,104,78,12-09-2017,Giant Bicycles,Standard,medium,large,1468,45725 Hagan Pass,2519,NSW,9
1305.25,105,89,26-10-2017,WeareA2B,Touring,medium,large,821,59000 American Center,2530,NSW,8
198.29,106,70,15-02-2017,Trek Bicycles,Standard,high,medium,2489,9 Spaight Place,2102,NSW,9
737.57,107,79,22-12-2017,Norco Bicycles,Standard,medium,medium,2710,86445 Bonner Junction,4660,QLD,3
1230.3,108,26,11-10-2017,WeareA2B,Standard,medium,medium,947,9 Clyde Gallagher Plaza,3021,VIC,7
1230.27,109,39,27-03-2017,Giant Bicycles,Standard,medium,large,1335,4 Sycamore Pass,3977,VIC,5
437.46,110,36,04-11-2017,Solex,Standard,low,medium,1076,44 Ramsey Road,2515,NSW,9
14.23,111,0,11-06-2017,OHM Cycles,Standard,low,medium,3320,88 Michigan Junction,3109,VIC,10
198.22,112,84,09-10-2017,Giant Bicycles,Road,medium,medium,779,2570 Wayridge Park,2093,NSW,9
143.36,113,98,07-06-2017,Trek Bicycles,Standard,high,medium,3296,85 Carioca Drive,2154,NSW,11
1010.02,114,75,24-10-2017,Giant Bicycles,Touring,medium,large,455,6 Mariners Cove Center,2233,NSW,10
128.46,115,76,01-05-2017,WeareA2B,Standard,low,medium,1779,6238 Hanover Crossing,3141,VIC,7
90.1,116,72,21-11-2017,Norco Bicycles,Standard,medium,medium,2703,4826 Crowley Park,2779,NSW,7
199.1,117,42,24-03-2017,OHM Cycles,Road,medium,small,806,018 Erie Point,2767,NSW,9
872.89,119,64,20-02-2017,Trek Bicycles,Standard,medium,large,1591,54 Veith Drive,2073,NSW,12
198.29,120,0,16-06-2017,Trek Bicycles,Standard,high,medium,678,96910 Sugar Point,4352,QLD,7
709.34,121,25,04-12-2017,Giant Bicycles,Road,medium,medium,50,957 Veith Junction,2047,NSW,10
957.02,122,24,01-12-2017,Solex,Road,medium,large,1038,85 Laurel Trail,3809,VIC,6
547.28,123,31,05-03-2017,WeareA2B,Standard,medium,medium,1453,58516 Tony Plaza,2567,NSW,8
693.76,124,98,21-03-2017,OHM Cycles,Standard,medium,medium,1339,8766 Onsgard Plaza,3805,VIC,8
143.82,125,22,03-01-2017,Solex,Standard,medium,medium,3382,40 Sauthoff Circle,3129,VIC,10
693.76,126,53,01-04-2017,OHM Cycles,Standard,medium,medium,773,88 Bay Drive,4305,QLD,3
75.48,127,84,16-03-2017,Trek Bicycles,Road,medium,medium,2503,62 Doe Crossing Junction,2760,NSW,7
709.34,128,25,26-02-2017,Giant Bicycles,Road,medium,medium,1057,7 Main Crossing,2065,NSW,12
43.97,129,50,05-06-2017,WeareA2B,Standard,medium,small,1397,79206 Independence Drive,3061,VIC,5
1660.88,130,44,04-09-2017,WeareA2B,Standard,medium,medium,2134,654 Kim Parkway,3175,VIC,3
129.01,131,96,18-01-2017,WeareA2B,Road,low,small,2403,544 Northland Place,2190,NSW,10
1069.55,132,12,28-09-2017,WeareA2B,Standard,medium,medium,1937,698 Old Gate Lane,2619,NSW,3
834.94,133,93,02-09-2017,WeareA2B,Standard,medium,medium,1282,791 Elgar Trail,4340,QLD,5
1055.82,134,78,09-05-2017,Giant Bicycles,Standard,medium,large,2183,8142 Tomscot Drive,4132,QLD,4
198.22,135,84,17-10-2017,Giant Bicycles,Road,medium,medium,1788,67 Hooker Place,2380,NSW,5
1028.76,136,65,25-04-2017,WeareA2B,Standard,medium,medium,1170,378 Prentice Point,4064,QLD,9
,137,0,23-09-2017,,,,,431,6920 Dwight Circle,4173,QLD,7
834.94,138,29,02-08-2017,WeareA2B,Standard,medium,medium,1940,1 Vernon Terrace,4226,QLD,6
471.6,139,32,25-03-2017,Giant Bicycles,Standard,high,medium,2073,9499 Alpine Drive,3175,VIC,8
509.97,140,11,01-01-2017,Giant Bicycles,Standard,high,medium,462,23 Glacier Hill Avenue,2259,NSW,6
1612.25,141,10,22-12-2017,Solex,Standard,medium,medium,2728,512 Forest Run Center,3188,VIC,11
1215.34,142,46,25-12-2017,Solex,Standard,low,medium,2053,896 Helena Parkway,4551,QLD,7
217.51,143,60,26-01-2017,Giant Bicycles,Standard,high,small,2135,0 Moose Court,2063,NSW,12
1630.25,144,92,20-12-2017,WeareA2B,Touring,medium,large,1217,387 Pawling Drive,2580,NSW,4
745.94,145,7,07-06-2017,Trek Bicycles,Road,low,medium,2992,9610 Gateway Trail,3429,VIC,5
104.24,146,41,06-04-2017,Solex,Road,medium,medium,3261,4591 Del Sol Court,2745,NSW,8
167.21,147,67,25-04-2017,Norco Bicycles,Road,medium,medium,2748,4320 Toban Avenue,2260,NSW,11
152.55,148,14,13-01-2017,Trek Bicycles,Standard,medium,small,3262,2558 Morningstar Center,4221,QLD,8
1305.25,149,89,21-03-2017,WeareA2B,Touring,medium,large,788,00 Mockingbird Junction,2141,NSW,9
75.14,150,9,21-11-2017,OHM Cycles,Road,medium,medium,3067,2178 Washington Hill,3806,VIC,6
57.73,151,31,11-11-2017,Giant Bicycles,Standard,medium,medium,701,537 Packers Street,4562,QLD,5
155.65,152,92,16-10-2017,WeareA2B,Standard,medium,small,648,9 Mayfield Road,4551,QLD,7
1544.61,153,37,19-08-2017,OHM Cycles,Standard,low,medium,3286,1 Fairview Park,3977,VIC,7
1702.55,154,3,06-04-2017,Trek Bicycles,Standard,medium,large,3383,48 Rockefeller Court,3786,VIC,8
75.75,155,56,04-11-2017,Norco Bicycles,Mountain,low,small,982,8276 Hudson Trail,2250,NSW,6
737.17,156,14,22-08-2017,Solex,Standard,high,large,676,4 Sunfield Circle,2194,NSW,8
299.27,157,6,15-09-2017,Solex,Standard,high,medium,385,58211 Surrey Crossing,2170,NSW,9
43.97,158,50,01-03-2017,WeareA2B,Standard,medium,small,1229,7929 Grasskamp Trail,2119,NSW,11
1103.43,159,10,16-08-2017,WeareA2B,Touring,medium,medium,3232,78258 Hanover Plaza,3070,VIC,10
,160,0,27-08-2017,,,,,3300,08 Upham Place,2176,NSW,9
198.22,161,69,10-07-2017,Giant Bicycles,Road,medium,medium,2381,9 American Ash Plaza,2015,NSW,9
1055.82,162,78,11-12-2017,Giant Bicycles,Standard,medium,large,371,92808 Mallard Terrace,3215,VIC,4
139.23,163,80,20-05-2017,OHM Cycles,Touring,low,medium,2519,685 International Lane,4825,QLD,2
409.86,164,17,30-07-2017,Solex,Standard,high,medium,2264,883 Almo Terrace,3977,VIC,6
1702.55,165,3,25-10-2017,Trek Bicycles,Standard,medium,large,2637,518 Colorado Trail,2100,NSW,10
1055.82,166,78,27-11-2017,Giant Bicycles,Standard,medium,large,3262,2558 Morningstar Center,4221,QLD,8
72.6,167,90,26-04-2017,Norco Bicycles,Standard,low,medium,3177,06 Kipling Circle,2085,NSW,10
471.6,168,87,02-02-2017,Giant Bicycles,Standard,high,medium,2267,93 Shasta Avenue,4171,QLD,10
50.66,169,97,02-05-2017,Solex,Standard,medium,large,456,572 Gerald Trail,2145,NSW,7
91.15,170,6,16-10-2017,OHM Cycles,Standard,high,medium,404,333 Bunting Crossing,2536,NSW,4
830.24,171,100,22-10-2017,Norco Bicycles,Road,medium,medium,3121,969 Sycamore Point,2304,NSW,7
1295.43,172,55,11-04-2017,Trek Bicycles,Road,medium,large,2365,743 Stone Corner Parkway,4127,QLD,6
830.24,173,100,16-11-2017,Norco Bicycles,Road,medium,medium,2528,3 Myrtle Terrace,4161,QLD,7
1103.43,174,10,17-12-2017,WeareA2B,Touring,medium,medium,3151,32798 Melby Center,4055,QLD,8
709.34,175,25,23-12-2017,Giant Bicycles,Road,medium,medium,3241,7574 Onsgard Drive,4011,QLD,7
827.16,176,74,30-03-2017,WeareA2B,Standard,medium,medium,1335,4 Sycamore Pass,3977,VIC,5
72.6,177,90,13-04-2017,Norco Bicycles,Standard,low,medium,2234,501 Reindahl Alley,2069,NSW,12
45.96,178,56,25-07-2017,OHM Cycles,Standard,medium,medium,3226,97 Sunnyside Junction,3977,VIC,7
179.44,179,62,31-01-2017,Solex,Standard,medium,medium,1365,970 Sundown Place,3222,VIC,5
195.34,180,20,18-03-2017,Trek Bicycles,Standard,medium,small,3349,9 Brown Pass,3196,VIC,9
409.86,181,17,24-02-2017,Solex,Standard,high,medium,1002,656 Bartelt Parkway,3127,VIC,12
182.81,182,16,18-02-2017,Norco Bicycles,Standard,high,small,2282,953 Del Sol Point,3630,VIC,4
1215.34,183,46,07-01-2017,Solex,Standard,low,medium,2656,444 Spaight Crossing,3070,VIC,10
737.17,184,71,05-07-2017,Solex,Standard,high,large,2409,4177 Bluejay Street,2560,NSW,8
128.46,185,91,19-11-2017,WeareA2B,Standard,low,medium,1711,2 Dwight Point,4133,QLD,5
409.86,186,17,08-11-2017,Solex,Standard,high,medium,2582,6551 Atwood Road,4216,QLD,7
1010.02,187,1,24-07-2017,Giant Bicycles,Touring,medium,large,1005,67 Holmberg Way,2165,NSW,9
1702.55,188,3,15-01-2017,Trek Bicycles,Standard,medium,large,1597,019 Derek Hill,2224,NSW,10
45.96,189,56,12-01-2017,OHM Cycles,Standard,medium,medium,2713,29895 Crest Line Point,2049,NSW,11
1544.61,190,37,27-11-2017,OHM Cycles,Standard,low,medium,1435,8934 Park Meadow Street,2756,NSW,8
309.81,191,34,30-06-2017,Norco Bicycles,Road,high,large,1477,472 Blaine Junction,2440,NSW,3
57.73,192,0,15-07-2017,Giant Bicycles,Standard,medium,medium,1614,835 Thackeray Place,2261,NSW,6
1069.55,193,12,22-06-2017,WeareA2B,Standard,medium,medium,1254,563 Northport Drive,4701,QLD,1
709.34,194,25,02-05-2017,Giant Bicycles,Road,medium,medium,1423,5700 Banding Lane,2762,NSW,9
64.51,195,81,27-12-2017,Norco Bicycles,Standard,medium,small,276,370 Portage Parkway,3125,VIC,8
4.8,196,19,21-12-2017,OHM Cycles,Road,high,large,1315,55326 Fulton Hill,3931,VIC,10
356.5,197,45,23-05-2017,Solex,Standard,medium,medium,591,36912 Gina Pass,2133,NSW,11
812.44,198,74,02-02-2017,WeareA2B,Standard,medium,medium,1017,42 Lunder Drive,2027,NSW,11
144.26,199,33,08-06-2017,Giant Bicycles,Standard,medium,small,2123,43 Sunbrook Terrace,4160,QLD,10
1630.25,200,57,15-04-2017,WeareA2B,Touring,medium,large,2889,37595 Packers Terrace,3064,VIC,5
133.38,201,0,05-09-2017,Trek Bicycles,Road,medium,medium,3208,43 South Pass,3620,VIC,2
75.75,202,23,26-02-2017,Norco Bicycles,Mountain,low,small,2406,645 Thackeray Street,4879,QLD,6
167.21,203,67,29-07-2017,Norco Bicycles,Road,medium,medium,2041,51739 Sundown Hill,2009,NSW,9
64.51,204,81,03-07-2017,Norco Bicycles,Standard,medium,small,1598,4 Florence Street,2032,NSW,11
771.12,205,58,27-05-2017,OHM Cycles,Standard,medium,medium,1842,9649 Cascade Way,2250,NSW,8
451.65,206,5,05-05-2017,Giant Bicycles,Standard,high,medium,141,585 Loomis Court,2097,NSW,11
641.64,207,94,09-09-2017,Giant Bicycles,Standard,medium,large,1321,57384 Sycamore Park,4370,QLD,6
802.26,208,51,21-05-2017,OHM Cycles,Standard,high,medium,183,8 Haas Park,2074,NSW,10
155.65,209,59,22-09-2017,WeareA2B,Standard,medium,small,2591,5342 Hallows Lane,2021,NSW,12
1383.61,210,63,12-04-2017,Solex,Standard,medium,medium,3356,73 Burrows Court,3121,VIC,8
583.27,211,40,07-05-2017,OHM Cycles,Standard,high,medium,766,3903 Messerschmidt Park,2164,NSW,8
872.89,212,80,13-01-2017,Trek Bicycles,Standard,medium,large,1596,5447 Weeping Birch Place,2086,NSW,12
459.46,213,82,14-12-2017,Norco Bicycles,Standard,high,medium,520,3169 Old Gate Point,2211,NSW,9
1215.34,214,46,22-03-2017,Solex,Standard,low,medium,868,519 Maywood Pass,2768,NSW,10
1055.82,215,78,30-09-2017,Giant Bicycles,Standard,medium,large,2999,4 Loftsgordon Avenue,3023,VIC,8
90.1,216,72,29-11-2017,Norco Bicycles,Standard,medium,medium,352,6 Sunbrook Center,4350,QLD,6
1010.02,217,75,09-06-2017,Giant Bicycles,Touring,medium,large,1140,8587 Graceland Way,2206,NSW,10
1295.43,218,40,21-04-2017,Trek Bicycles,Road,medium,large,621,363 Schiller Court,2763,NSW,7
64.930000000,219,2,13-11-2017,Giant Bicycles,Road,low,small,3307,1172 Mesta Center,4740,QLD,2
1103.43,220,10,09-04-2017,WeareA2B,Touring,medium,medium,1502,78960 Schiller Lane,2450,NSW,4
448.68,221,35,08-05-2017,Giant Bicycles,Standard,medium,medium,936,5 Reindahl Point,3400,VIC,2
187.39,222,8,08-07-2017,Solex,Road,medium,small,939,32 Dennis Hill,2233,NSW,9
64.930000000,223,2,30-11-2017,Giant Bicycles,Road,low,small,2698,77196 West Crossing,2166,NSW,8
198.22,224,69,25-04-2017,Giant Bicycles,Road,medium,medium,579,4559 Stoughton Lane,2097,NSW,10
1279.4,225,54,30-03-2017,WeareA2B,Standard,medium,medium,2036,18 Karstens Drive,2233,NSW,10
187.39,226,8,10-03-2017,Solex,Road,medium,small,3077,25578 Mayfield Drive,2099,NSW,10
110.56,227,86,16-03-2017,OHM Cycles,Standard,medium,medium,369,6085 Petterle Circle,3130,VIC,10
574.62,228,13,04-04-2017,Solex,Standard,medium,medium,821,59000 American Center,2530,NSW,8
114.93,229,19,13-03-2017,Trek Bicycles,Mountain,low,medium,2687,40923 Truax Drive,2208,NSW,10
110.56,230,86,23-12-2017,OHM Cycles,Standard,medium,medium,681,76 Hanson Junction,2147,NSW,9
1544.61,231,46,12-08-2017,OHM Cycles,Standard,low,medium,37,54 Sage Plaza,4726,QLD,1
299.27,232,30,04-08-2017,Solex,Standard,high,medium,3002,673 Comanche Parkway,2470,NSW,2
1630.25,233,92,01-09-2017,WeareA2B,Touring,medium,large,396,32 Farragut Avenue,2076,NSW,11
737.17,234,71,01-09-2017,Solex,Standard,high,large,550,1949 Pepper Wood Pass,3168,VIC,6
445.21,235,77,02-07-2017,Norco Bicycles,Road,medium,large,1605,2517 Glacier Hill Point,3219,VIC,3
144.26,236,7,31-08-2017,Giant Bicycles,Standard,medium,small,2325,92 Schlimgen Hill,3023,VIC,8
75.75,237,23,11-03-2017,Norco Bicycles,Mountain,low,small,1420,255 Doe Crossing Terrace,2767,NSW,8
1069.55,238,12,08-10-2017,WeareA2B,Standard,medium,medium,3099,5406 Mockingbird Center,4870,QLD,7
14.23,239,61,01-10-2017,OHM Cycles,Standard,low,medium,1645,38330 Badeau Place,2154,NSW,11
690.49,240,21,23-11-2017,Solex,Standard,medium,large,546,20198 Hansons Plaza,2340,NSW,2
110.56,241,86,27-03-2017,OHM Cycles,Standard,medium,medium,2885,17 Sachs Street,2761,NSW,8
1630.25,242,57,04-12-2017,WeareA2B,Touring,medium,large,2740,28820 Monica Circle,2226,NSW,7
1383.61,243,63,13-11-2017,Solex,Standard,medium,medium,3166,1 Glacier Hill Parkway,2017,NSW,8
1230.3,244,63,20-12-2017,WeareA2B,Standard,medium,medium,3487,30011 Manufacturers Hill,3146,VIC,9
144.26,245,33,22-09-2017,Giant Bicycles,Standard,medium,small,2890,63 Bayside Center,2018,NSW,11
693.76,246,98,22-01-2017,OHM Cycles,Standard,medium,medium,3370,01 Nevada Alley,2076,NSW,12
209.84,247,15,29-01-2017,Norco Bicycles,Standard,low,medium,3393,0 Weeping Birch Plaza,2093,NSW,12
1630.25,248,57,21-07-2017,WeareA2B,Touring,medium,large,2410,75351 Ridgeview Lane,3181,VIC,11
14.23,249,61,10-02-2017,OHM Cycles,Standard,low,medium,3466,6 4th Lane,3079,VIC,11
812.44,250,48,25-11-2017,WeareA2B,Standard,medium,medium,1454,583 Jenna Pass,2567,NSW,9
1383.61,251,63,11-04-2017,Solex,Standard,medium,medium,1967,67104 Bunting Crossing,2043,NSW,9
1055.82,252,78,03-12-2017,Giant Bicycles,Standard,medium,large,3089,7 Westridge Terrace,4504,QLD,7
64.930000000,253,2,30-12-2017,Giant Bicycles,Road,low,small,3123,6915 Nobel Crossing,2195,NSW,6
690.49,254,67,26-07-2017,Solex,Standard,medium,large,2692,8658 Maple Wood Plaza,3020,VIC,7
167.21,255,67,01-04-2017,Norco Bicycles,Road,medium,medium,2801,9677 Hagan Lane,3212,VIC,3
751.02,256,13,22-10-2017,Solex,Standard,medium,medium,1580,3384 Nelson Circle,4227,QLD,3
1028.76,257,65,22-03-2017,WeareA2B,Standard,medium,medium,352,6 Sunbrook Center,4350,QLD,6
