Profit,Age,Customer ID-1,First Name,Last Name,Gender,Purchase History,Job Title,Industry,Customer Segment,Car,Tenure,Transaction ID,Product ID,Date,Online,Status,Brand,Product Line,Product Class,Size,List Price,Cost,Customer ID,Address,Postcode,State,Property Value
25.09,26,12,Sawyere,Flattman,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,12242,91,23-07-2017,False,Approved,Solex,Standard,medium,medium,100.35,75.26,12,44339 Golden Leaf Alley,4557,QLD,4
90.1,26,12,Sawyere,Flattman,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,6741,72,12-02-2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,12,44339 Golden Leaf Alley,4557,QLD,4
90.1,26,12,Sawyere,Flattman,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,6705,72,04-09-2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,12,44339 Golden Leaf Alley,4557,QLD,4
1230.27,26,12,Sawyere,Flattman,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,5985,39,21-08-2017,False,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,12,44339 Golden Leaf Alley,4557,QLD,4
167.21,65,13,Gabriele,Norcross,Male,38,Developer I,Financial Services,High Net Worth,Yes,8,19988,0,05-04-2017,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,13,2 Sutherland Street,3799,VIC,6
1630.25,65,13,Gabriele,Norcross,Male,38,Developer I,Financial Services,High Net Worth,Yes,8,17763,92,06-01-2017,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,13,2 Sutherland Street,3799,VIC,6
198.29,65,13,Gabriele,Norcross,Male,38,Developer I,Financial Services,High Net Worth,Yes,8,17639,0,03-12-2017,True,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,13,2 Sutherland Street,3799,VIC,6
327.98,65,13,Gabriele,Norcross,Male,38,Developer I,Financial Services,High Net Worth,Yes,8,15101,49,01-03-2017,True,Approved,Solex,Standard,medium,large,1061.56,733.58,13,2 Sutherland Street,3799,VIC,6
1305.25,65,13,Gabriele,Norcross,Male,38,Developer I,Financial Services,High Net Worth,Yes,8,13486,17,17-11-2017,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,13,2 Sutherland Street,3799,VIC,6
133.78,65,13,Gabriele,Norcross,Male,38,Developer I,Financial Services,High Net Worth,Yes,8,11839,9,02-08-2017,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,13,2 Sutherland Street,3799,VIC,6
574.62,65,13,Gabriele,Norcross,Male,38,Developer I,Financial Services,High Net Worth,Yes,8,8905,66,16-02-2017,False,Approved,Solex,Standard,medium,medium,1163.89,589.27,13,2 Sutherland Street,3799,VIC,6
75.75,37,14,Rayshell,Kitteman,Female,85,Account Executive,Financial Services,Affluent Customer,No,6,19381,23,27-10-2017,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,14,9 Mcbride Trail,2760,NSW,8
1592.19,37,14,Rayshell,Kitteman,Female,85,Account Executive,Financial Services,Affluent Customer,No,6,16253,68,11-05-2017,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,14,9 Mcbride Trail,2760,NSW,8
,37,14,Rayshell,Kitteman,Female,85,Account Executive,Financial Services,Affluent Customer,No,6,8486,0,16-08-2017,True,Approved,,,,,1084.18,,14,9 Mcbride Trail,2760,NSW,8
45.96,37,14,Rayshell,Kitteman,Female,85,Account Executive,Financial Services,Affluent Customer,No,6,6044,56,13-11-2017,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,14,9 Mcbride Trail,2760,NSW,8
64.51,20,15,Erroll,Radage,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1,17963,81,25-11-2017,True,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,15,9861 New Castle Avenue,2428,NSW,9
17.87,20,15,Erroll,Radage,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1,17528,2,20-01-2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62,15,9861 New Castle Avenue,2428,NSW,9
144.26,20,15,Erroll,Radage,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1,11788,33,07-06-2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,15,9861 New Castle Avenue,2428,NSW,9
104.24,20,15,Erroll,Radage,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1,10707,41,20-09-2017,True,Approved,Solex,Road,medium,medium,416.98,312.74,15,9861 New Castle Avenue,2428,NSW,9
1230.3,20,15,Erroll,Radage,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1,7896,26,30-07-2017,False,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,15,9861 New Castle Avenue,2428,NSW,9
167.21,20,15,Erroll,Radage,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1,434,67,10-03-2017,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,15,9861 New Castle Avenue,2428,NSW,9
456.45,43,16,Harlin,Parr,Male,38,Media Manager IV,n/a,Mass Customer,Yes,18,17935,99,31-07-2017,False,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,16,52 Moland Street,3331,VIC,4
129.01,43,16,Harlin,Parr,Male,38,Media Manager IV,n/a,Mass Customer,Yes,18,14760,96,12-02-2017,False,Approved,WeareA2B,Road,low,small,1172.78,1043.77,16,52 Moland Street,3331,VIC,4
1592.19,43,16,Harlin,Parr,Male,38,Media Manager IV,n/a,Mass Customer,Yes,18,13585,68,22-09-2017,True,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,16,52 Moland Street,3331,VIC,4
641.64,43,16,Harlin,Parr,Male,38,Media Manager IV,n/a,Mass Customer,Yes,18,5083,94,10-05-2017,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,16,52 Moland Street,3331,VIC,4
1702.55,43,16,Harlin,Parr,Male,38,Media Manager IV,n/a,Mass Customer,Yes,18,1405,3,17-08-2017,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,16,52 Moland Street,3331,VIC,4
133.38,58,17,Heath,Faraday,Male,57,Sales Associate,n/a,Affluent Customer,Yes,15,17135,49,30-12-2017,False,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,17,82391 Kensington Lane,3058,VIC,9
198.29,58,17,Heath,Faraday,Male,57,Sales Associate,n/a,Affluent Customer,Yes,15,12747,70,11-10-2017,True,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,17,82391 Kensington Lane,3058,VIC,9
448.68,58,17,Heath,Faraday,Male,57,Sales Associate,n/a,Affluent Customer,Yes,15,10775,1,01-05-2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,17,82391 Kensington Lane,3058,VIC,9
1055.82,58,17,Heath,Faraday,Male,57,Sales Associate,n/a,Affluent Customer,Yes,15,5316,78,14-11-2017,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,17,82391 Kensington Lane,3058,VIC,9
179.44,58,17,Heath,Faraday,Male,57,Sales Associate,n/a,Affluent Customer,Yes,15,1404,62,14-03-2017,False,Approved,Solex,Standard,medium,medium,478.16,298.72,17,82391 Kensington Lane,3058,VIC,9
182.81,53,18,Marjie,Neasham,Female,79,Professor,n/a,Affluent Customer,No,11,17282,16,18-08-2017,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,18,092 2nd Alley,2135,NSW,12
1103.43,53,18,Marjie,Neasham,Female,79,Professor,n/a,Affluent Customer,No,11,11922,10,24-06-2017,True,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,18,092 2nd Alley,2135,NSW,12
583.27,53,18,Marjie,Neasham,Female,79,Professor,n/a,Affluent Customer,No,11,11227,40,05-07-2017,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,18,092 2nd Alley,2135,NSW,12
641.64,53,18,Marjie,Neasham,Female,79,Professor,n/a,Affluent Customer,No,11,8622,94,16-05-2017,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,18,092 2nd Alley,2135,NSW,12
50.66,53,18,Marjie,Neasham,Female,79,Professor,n/a,Affluent Customer,No,11,7092,97,25-03-2017,True,Approved,Solex,Standard,medium,large,202.62,151.96,18,092 2nd Alley,2135,NSW,12
509.97,53,18,Marjie,Neasham,Female,79,Professor,n/a,Affluent Customer,No,11,3777,11,11-05-2017,False,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,18,092 2nd Alley,2135,NSW,12
471.6,53,18,Marjie,Neasham,Female,79,Professor,n/a,Affluent Customer,No,11,3506,87,15-07-2017,True,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,18,092 2nd Alley,2135,NSW,12
1592.19,19,19,Sorcha,Keyson,Female,76,Geological Engineer,Manufacturing,High Net Worth,No,1,14850,87,25-03-2017,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,19,59 Spaight Circle,2233,NSW,9
1215.34,19,19,Sorcha,Keyson,Female,76,Geological Engineer,Manufacturing,High Net Worth,No,1,8866,36,19-09-2017,,Approved,Solex,Standard,low,medium,1289.85,74.51,19,59 Spaight Circle,2233,NSW,9
144.26,19,19,Sorcha,Keyson,Female,76,Geological Engineer,Manufacturing,High Net Worth,No,1,4664,7,31-01-2017,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,19,59 Spaight Circle,2233,NSW,9
1702.55,40,20,Basile,Firth,Male,72,Project Manager,Manufacturing,Mass Customer,No,11,18030,3,11-06-2017,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,20,032 Bartelt Crossing,2444,NSW,8
812.44,40,20,Basile,Firth,Male,72,Project Manager,Manufacturing,Mass Customer,No,11,14766,48,20-11-2017,False,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,20,032 Bartelt Crossing,2444,NSW,8
641.64,40,20,Basile,Firth,Male,72,Project Manager,Manufacturing,Mass Customer,No,11,11330,94,29-11-2017,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,20,032 Bartelt Crossing,2444,NSW,8
451.65,40,20,Basile,Firth,Male,72,Project Manager,Manufacturing,Mass Customer,No,11,6657,4,01-11-2017,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,20,032 Bartelt Crossing,2444,NSW,8
182.81,40,21,Mile,Cammocke,Male,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,16,19616,16,17-11-2017,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,21,18 Jenna Center,2650,NSW,7
709.34,40,21,Mile,Cammocke,Male,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,16,14115,25,12-02-2017,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,21,18 Jenna Center,2650,NSW,7
90.1,40,21,Mile,Cammocke,Male,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,16,8915,72,24-12-2017,False,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,21,18 Jenna Center,2650,NSW,7
1702.55,40,21,Mile,Cammocke,Male,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,16,4778,3,22-10-2017,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,21,18 Jenna Center,2650,NSW,7
1544.61,40,21,Mile,Cammocke,Male,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,16,2932,37,17-08-2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,21,18 Jenna Center,2650,NSW,7
128.46,43,24,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15,19263,76,05-10-2017,True,Approved,WeareA2B,Standard,low,medium,642.31,513.85,24,3 Cordelia Plaza,2153,NSW,10
583.27,43,24,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15,19078,40,31-10-2017,False,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,24,3 Cordelia Plaza,2153,NSW,10
17.87,43,24,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15,15926,2,25-01-2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62,24,3 Cordelia Plaza,2153,NSW,10
509.97,43,24,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15,15874,11,13-05-2017,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,24,3 Cordelia Plaza,2153,NSW,10
1305.25,43,24,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15,14099,89,12-10-2017,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,24,3 Cordelia Plaza,2153,NSW,10
450.77,43,24,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15,9249,52,13-11-2017,True,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,24,3 Cordelia Plaza,2153,NSW,10
,43,24,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15,7610,0,11-05-2017,False,Approved,,,,,1193.44,,24,3 Cordelia Plaza,2153,NSW,10
693.76,43,24,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15,1783,53,13-12-2017,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,24,3 Cordelia Plaza,2153,NSW,10
167.21,44,25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,19252,67,01-12-2017,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,25,28 5th Center,4413,QLD,3
1055.82,44,25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,17826,78,25-12-2017,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,25,28 5th Center,4413,QLD,3
15.08,44,25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,16026,22,08-02-2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,25,28 5th Center,4413,QLD,3
133.78,44,25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,15291,28,01-04-2017,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,25,28 5th Center,4413,QLD,3
91.15,44,25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,11765,6,08-03-2017,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,25,28 5th Center,4413,QLD,3
327.98,44,25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,10224,59,10-07-2017,False,Approved,Solex,Standard,medium,large,1061.56,733.58,25,28 5th Center,4413,QLD,3
91.15,44,25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,9193,6,17-09-2017,False,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,25,28 5th Center,4413,QLD,3
143.82,44,25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,7196,18,23-11-2017,False,Approved,Solex,Standard,medium,medium,575.27,431.45,25,28 5th Center,4413,QLD,3
1279.4,44,25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,6552,54,15-04-2017,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,25,28 5th Center,4413,QLD,3
