Age,Customer ID,First Name,Last Name,Gender,Purchase History,Job Title,Industry,Customer Segment,Car,Tenure
32,52,Curran,Bentson,Male,57,,Financial Services,Mass Customer,Yes,13
66,53,Agnella,Gocke,Female,22,Software Test Engineer II,Financial Services,Mass Customer,No,16
54,54,Loralyn,Wonfor,Female,2,Sales Associate,Property,Mass Customer,Yes,18
64,55,Linc,Jillions,Male,48,Paralegal,Financial Services,Affluent Customer,Yes,7
24,56,Reese,Ensor,Male,44,VP Sales,Property,Mass Customer,Yes,4
32,57,Abba,Masedon,Male,87,Chief Design Engineer,n/a,Mass Customer,Yes,13
53,58,Dalenna,Pinnock,Female,26,Office Assistant III,Financial Services,Affluent Customer,Yes,17
20,59,Niki,Heathcote,Male,60,Physical Therapy Assistant,n/a,High Net Worth,No,3
50,60,Nadiya,Champerlen,Female,18,,Manufacturing,Mass Customer,No,10
61,61,Kacey,Rowbottom,Female,47,Help Desk Operator,Property,High Net Worth,No,13
41,62,Sorcha,Roggers,Female,38,,IT,Mass Customer,Yes,22
55,63,Ebony,Zini,Female,58,Senior Quality Engineer,Retail,Mass Customer,Yes,16
42,64,Gerek,Yve,Male,73,Legal Assistant,IT,High Net Worth,No,4
44,65,Yale,Tanser,Male,21,Information Systems Manager,Financial Services,Affluent Customer,Yes,15
18,66,Anselm,Gawne,Male,46,Account Executive,Argiculture,High Net Worth,No,1
60,67,Vernon,,Male,67,Web Developer II,Retail,Mass Customer,No,18
46,68,Dahlia,Eddoes,Female,37,Information Systems Manager,n/a,Affluent Customer,No,9
51,69,Heidi,Milner,Female,16,Web Developer II,n/a,Mass Customer,No,6
27,70,Foster,Vannoort,Male,78,Paralegal,Financial Services,Affluent Customer,No,8
35,71,Hoyt,Glavias,Male,30,Research Associate,Argiculture,Affluent Customer,Yes,12
48,72,Sammy,Cheese,Male,93,Administrative Officer,Manufacturing,Affluent Customer,Yes,16
60,73,Minette,Worters,Female,16,Teacher,n/a,Affluent Customer,Yes,5
51,74,Pansy,Kiddie,Female,94,,n/a,Mass Customer,Yes,6
42,75,Dollie,Sealy,Female,28,VP Product Management,Property,Mass Customer,No,19
42,76,Rea,Hasser,Female,20,Statistician II,Retail,High Net Worth,Yes,18
31,77,Shermie,Andrin,Male,79,Automation Specialist IV,Financial Services,Mass Customer,No,7
35,78,Arch,Van der Kruis,Male,37,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8
52,79,Tybi,Silliman,Female,76,Account Executive,Manufacturing,Mass Customer,No,18
42,80,Pablo,Small,Male,11,Data Coordiator,Entertainment,Mass Customer,No,13
34,81,Bee,Blazewicz,Female,58,,Health,High Net Worth,No,13
55,82,Gleda,Cokely,Female,93,Software Test Engineer III,Property,High Net Worth,No,19
53,83,Kerr,Simmell,Male,97,Internal Auditor,IT,Mass Customer,Yes,18
62,84,Rich,Mathiasen,Male,78,Accountant III,n/a,Mass Customer,Yes,14
62,85,Kane,Tixall,Male,1,Analyst Programmer,n/a,Mass Customer,No,8
31,86,Job,Sleney,Male,75,Occupational Therapist,Health,High Net Worth,Yes,7
46,87,Fields,Langdon,Male,78,Editor,Financial Services,Mass Customer,No,8
54,88,Malynda,Tumber,Female,41,Help Desk Operator,Property,High Net Worth,Yes,7
53,89,Benedicto,Hoxey,Male,74,Speech Pathologist,Health,Mass Customer,Yes,14
36,90,Cary,Garron,Male,76,Quality Control Specialist,Manufacturing,Mass Customer,No,11
65,91,Dylan,Meaker,Male,69,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17
40,92,Jodee,Judkins,Female,98,Recruiting Manager,Health,Mass Customer,No,12
44,93,Gordon,Gowar,Male,63,Project Manager,Retail,Mass Customer,Yes,10
46,94,Wallache,Simchenko,Male,33,Civil Engineer,Manufacturing,Mass Customer,No,21
60,95,Nomi,Mallinder,Female,67,Software Engineer III,Manufacturing,Affluent Customer,Yes,8
52,96,Heath,Olford,Male,33,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15
41,97,Arne,Corain,Male,16,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10
64,98,Allianora,Babalola,Female,19,Safety Technician IV,Health,Mass Customer,No,7
22,99,Reggie,Mulliner,Male,97,VP Accounting,Financial Services,Mass Customer,No,3
52,100,Tripp,Steed,Male,80,General Manager,Financial Services,Mass Customer,Yes,4
45,101,Goran,Kwietek,Male,83,Nurse Practicioner,Manufacturing,High Net Worth,No,11
64,102,Langsdon,Tranfield,Male,51,Quality Control Specialist,Manufacturing,Affluent Customer,No,16
23,103,Ethyl,Runham,Female,49,Product Engineer,Financial Services,Affluent Customer,Yes,4
42,104,Odille,Panketh,Female,40,Automation Specialist II,Health,Mass Customer,Yes,9
19,105,Maribeth,Pristnor,Female,25,Recruiting Manager,Manufacturing,Mass Customer,No,1
54,106,Glyn,,Male,54,Software Test Engineer III,Health,High Net Worth,Yes,18
30,107,Pris,Stallebrass,Female,97,Nurse Practicioner,Financial Services,Mass Customer,Yes,9
26,108,Kayle,Mingaud,Female,4,,n/a,High Net Worth,No,3
42,109,Cody,Blabey,Male,16,Marketing Assistant,n/a,Affluent Customer,Yes,4
20,110,Sascha,St. Quintin,Male,23,,Financial Services,Affluent Customer,No,1
27,111,Cele,Evason,Female,65,Analyst Programmer,n/a,Mass Customer,No,2
45,112,Shena,Parren,Female,88,Marketing Manager,Retail,High Net Worth,No,12
64,113,Gage,Nickless,Male,67,Staff Scientist,n/a,Mass Customer,No,20
35,114,Sunny,Swindells,Female,10,Teacher,Entertainment,Affluent Customer,No,8
39,115,Alberik,Mereweather,Male,77,Account Executive,Health,Mass Customer,No,18
21,116,Scottie,Swiffen,Male,49,Assistant Professor,Manufacturing,Affluent Customer,Yes,2
38,117,Nance,Suttling,Female,75,Marketing Manager,Manufacturing,Mass Customer,No,15
61,118,Prentice,Pearmain,Male,43,Budget/Accounting Analyst IV,n/a,High Net Worth,No,19
39,119,Willey,Chastanet,Male,9,Associate Professor,n/a,High Net Worth,Yes,9
42,120,Sloan,Wagg,Male,80,Legal Assistant,Financial Services,High Net Worth,Yes,4
63,121,Myles,Pauncefort,Male,82,Graphic Designer,Manufacturing,Mass Customer,No,15
41,122,Colver,Itter,Male,87,Quality Control Specialist,Financial Services,Mass Customer,Yes,12
32,123,Almeta,Kalinsky,Female,85,Analyst Programmer,Financial Services,High Net Worth,No,15
25,124,Kath,Cunney,Female,27,Administrative Assistant II,Health,High Net Worth,Yes,5
60,125,Darrelle,Antoniewski,Female,94,Computer Systems Analyst II,Property,Mass Customer,No,16
28,126,Norman,Cliff,Male,53,Administrative Officer,Health,Mass Customer,Yes,3
46,127,Merrili,Whitear,Female,81,Compensation Analyst,Financial Services,Mass Customer,No,19
43,128,Isidro,Cypler,Male,73,Systems Administrator III,Property,Mass Customer,Yes,12
35,129,Weidar,Silkstone,Male,64,Financial Advisor,Financial Services,High Net Worth,Yes,19
23,130,Raddy,Delete,Male,32,Chemical Engineer,Manufacturing,Mass Customer,No,1
56,131,Jana,Renyard,Female,57,Administrative Officer,Retail,High Net Worth,No,8
57,132,Celesta,Willavoys,Female,5,Web Designer I,Manufacturing,Mass Customer,Yes,9
43,133,Eldridge,Fiddeman,Male,12,VP Accounting,Financial Services,Mass Customer,Yes,16
23,134,Merna,McCulloch,Female,34,Legal Assistant,Telecommunications,Affluent Customer,Yes,5
45,135,Rosalia,Sigart,Female,18,Internal Auditor,IT,Mass Customer,No,3
47,136,Mel,Bennet,Male,46,Senior Developer,Manufacturing,High Net Worth,Yes,7
33,137,Vaughn,Artin,Male,27,Office Assistant II,Property,High Net Worth,No,10
35,138,Onofredo,Franc,Male,5,Recruiter,Financial Services,Affluent Customer,Yes,13
56,139,Gar,,Male,1,Operator,Telecommunications,Affluent Customer,No,4
26,140,Morrie,Flaxon,Male,9,Programmer Analyst III,Manufacturing,Mass Customer,No,2
66,141,Townsend,Trobe,Male,67,Teacher,Financial Services,High Net Worth,Yes,10
53,142,Bentley,Fortesquieu,Male,57,Quality Engineer,Health,Affluent Customer,No,17
63,143,Kendall,Figg,Male,19,Operator,Argiculture,Mass Customer,Yes,11
23,145,Filippo,Ferrara,Male,33,Account Executive,Financial Services,Mass Customer,No,4
35,146,Ricoriki,Matlock,Male,34,Quality Control Specialist,Manufacturing,Mass Customer,No,8
47,147,Rea,Pattrick,Female,32,Analog Circuit Design manager,Health,Mass Customer,Yes,10
39,148,Jaquith,Maffey,Female,69,Programmer Analyst III,n/a,Mass Customer,Yes,5
25,149,Drucy,Kausche,Female,41,Research Nurse,Health,Mass Customer,Yes,1
37,150,Bradly,Crosse,Male,6,Cost Accountant,Financial Services,Affluent Customer,No,17
55,151,Donnie,Brimson,Male,36,Marketing Manager,Manufacturing,Mass Customer,Yes,13
39,152,Stephana,Cardew,Female,5,Compensation Analyst,Financial Services,Mass Customer,No,16
43,153,Lorilyn,Walshe,Female,73,Assistant Media Planner,Entertainment,Mass Customer,Yes,12
62,154,Faydra,Dulieu,Female,90,Junior Executive,n/a,Mass Customer,No,11
35,155,Orran,Bogges,Male,4,Quality Engineer,Manufacturing,Mass Customer,No,10
41,156,Shayla,Rimmington,Female,23,Cost Accountant,Financial Services,Mass Customer,Yes,11
46,157,Chad,Houtby,Male,97,Financial Advisor,Financial Services,Affluent Customer,No,16
36,158,Hamlin,Odams,Male,99,Internal Auditor,n/a,Affluent Customer,No,5
33,159,Arin,Matskevich,Male,90,Research Nurse,Health,Affluent Customer,No,13
56,160,Wake,Durning,Male,5,Registered Nurse,Health,Mass Customer,No,18
44,161,Tadd,Bloss,Male,49,,n/a,Mass Customer,No,16
41,162,Port,Acuna,Male,90,Nurse Practicioner,IT,Mass Customer,No,15
44,163,Kessia,Helder,Female,58,Librarian,Entertainment,High Net Worth,Yes,14
21,164,Aarika,Van Vuuren,Female,55,Senior Editor,Retail,Affluent Customer,Yes,1
36,165,Aldon,Roelofs,Male,61,Administrative Officer,Argiculture,Mass Customer,Yes,12
65,166,Elston,Oleszczak,Male,54,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6
51,167,Nathalie,Tideswell,Female,95,,Health,High Net Worth,Yes,17
63,169,Alfy,Bruhnke,Male,20,Data Coordiator,Telecommunications,High Net Worth,Yes,5
45,170,Jammal,Gever,Male,80,Pharmacist,Health,High Net Worth,No,21
50,171,Halli,Davidoff,Female,62,Assistant Manager,Manufacturing,Mass Customer,No,10
32,172,Hilton,Carney,Male,54,Editor,Manufacturing,Affluent Customer,Yes,6
23,173,Ebba,Hanselmann,Female,99,General Manager,Health,Affluent Customer,No,1
31,174,Catie,Tosspell,Female,93,Food Chemist,Health,Mass Customer,No,12
45,175,Templeton,Hambrook,Male,36,Quality Engineer,Manufacturing,Affluent Customer,No,5
28,176,Angelo,Clayal,Male,39,Accountant I,Property,Mass Customer,No,10
31,177,Ondrea,Pablos,Female,25,Professor,Financial Services,High Net Worth,No,4
53,178,Matthieu,Bertelmot,Male,2,,n/a,Affluent Customer,No,8
54,179,Esteban,Sewill,Male,23,Environmental Tech,Manufacturing,High Net Worth,Yes,6
49,180,Trisha,Neasham,Female,16,Web Designer III,Argiculture,Affluent Customer,No,14
38,181,Pavla,Braunle,Female,49,Senior Editor,Manufacturing,Mass Customer,No,9
28,182,Lydon,Dahlman,Male,99,Sales Associate,Financial Services,Affluent Customer,Yes,7
23,183,Dannie,Hissie,Female,7,Geologist III,Retail,Affluent Customer,No,3
49,184,Nappie,Paolo,Male,40,Marketing Manager,Manufacturing,High Net Worth,Yes,7
41,185,Crosby,Walcot,Male,80,,Property,Mass Customer,Yes,13
46,186,Mireielle,Jeppe,Female,46,Software Test Engineer I,Financial Services,Mass Customer,No,3
66,187,Pincas,Ather,Male,97,Structural Engineer,n/a,Mass Customer,No,11
45,188,Audry,Seine,Female,54,Safety Technician II,Property,High Net Worth,Yes,13
39,189,Umberto,Torricella,Male,73,Safety Technician I,Financial Services,Affluent Customer,No,10
41,190,Hayley,Girardengo,Female,42,Registered Nurse,Health,Affluent Customer,No,10
60,191,Christopher,Heining,Male,22,Help Desk Operator,n/a,Affluent Customer,Yes,6
42,192,Goldi,Osler,Female,2,Junior Executive,Health,Mass Customer,Yes,8
56,193,Foss,Hardes,Male,13,Recruiting Manager,Manufacturing,Mass Customer,Yes,12
46,194,Ursala,Ferrai,Female,4,Web Developer III,Financial Services,Affluent Customer,No,10
62,195,Talyah,Rylatt,Female,34,Project Manager,Manufacturing,Mass Customer,No,6
54,196,Swen,Odhams,Male,90,Programmer Analyst II,Manufacturing,High Net Worth,No,6
43,197,Avis,,Female,32,,n/a,High Net Worth,No,5
39,198,Vanya,Gumb,Female,82,Assistant Media Planner,Entertainment,Mass Customer,No,16
42,199,Verla,Alven,Female,61,Junior Executive,Health,Mass Customer,Yes,21
63,200,Hube,Weald,Male,7,Physical Therapy Assistant,Property,Affluent Customer,Yes,19
54,201,Salem,Huie,Male,45,Design Engineer,Manufacturing,Mass Customer,Yes,11
57,202,Audie,Pillinger,Female,38,Librarian,Entertainment,Affluent Customer,Yes,16
56,203,Donovan,Conry,Male,71,Senior Quality Engineer,Argiculture,Mass Customer,Yes,11
44,204,Thorny,Hackworth,Male,56,Editor,Financial Services,Mass Customer,No,5
62,205,Rolfe,Kellard,Male,18,Administrative Assistant II,Financial Services,Mass Customer,Yes,6
66,206,Mari,Chevolleau,Female,98,Statistician I,n/a,Mass Customer,Yes,14
26,207,Adena,Whyman,Female,9,,n/a,Mass Customer,No,7
26,208,Rutter,Excell,Male,57,Office Assistant III,Property,High Net Worth,No,5
63,209,Udall,Bellard,Male,9,Analog Circuit Design manager,n/a,Affluent Customer,Yes,6
57,210,Albrecht,Thomasson,Male,50,Assistant Manager,Property,Mass Customer,No,18
46,211,Beitris,,Female,6,VP Marketing,Manufacturing,Mass Customer,Yes,5
19,212,Nanice,Ellse,Female,21,Desktop Support Technician,IT,Affluent Customer,No,1
24,213,Lockwood,Exroll,Male,13,Actuary,Financial Services,High Net Worth,Yes,6
63,214,Jeramie,Cellier,Male,82,Food Chemist,Health,Mass Customer,No,6
46,215,Debera,Foxworthy,Female,37,Assistant Professor,Retail,High Net Worth,Yes,18
25,216,Cinderella,Parcall,Female,12,Quality Engineer,Financial Services,High Net Worth,Yes,7
41,217,Jeralee,Quartly,Female,63,,Manufacturing,High Net Worth,No,16
27,218,Stefa,Dunnan,Female,37,Administrative Officer,Property,High Net Worth,Yes,8
56,219,Markus,Mughal,Male,9,Database Administrator III,Health,Mass Customer,No,7
66,220,Jeniffer,Apark,Female,79,Electrical Engineer,Manufacturing,High Net Worth,No,9
40,221,Mara,Bloore,Female,14,Tax Accountant,Manufacturing,Mass Customer,No,14
42,222,Nev,Larive,Male,89,Clinical Specialist,Health,Mass Customer,No,16
37,223,Ossie,Meaton,Male,13,VP Sales,n/a,Affluent Customer,Yes,14
53,224,Morgun,Girvan,Male,2,Compensation Analyst,Financial Services,Affluent Customer,No,17
43,225,Brittaney,Pring,Female,84,Pharmacist,Health,Affluent Customer,No,13
43,226,Bondie,Letty,Male,96,Database Administrator IV,Manufacturing,Mass Customer,No,20
47,227,Wendall,McKeand,Male,99,Accountant I,Entertainment,Mass Customer,No,18
34,228,Lucia,Pickervance,Female,59,Systems Administrator II,Manufacturing,High Net Worth,No,12
54,229,Vaughn,Lambis,Male,30,,Property,High Net Worth,No,19
66,230,Maegan,Scyone,Female,74,Internal Auditor,Property,High Net Worth,No,11
25,231,Basile,Winsor,Male,48,Design Engineer,Financial Services,Mass Customer,Yes,3
33,232,Zaria,Koeppke,Female,94,Professor,Retail,Mass Customer,No,12
34,233,Art,Barwell,Male,34,Environmental Tech,Property,Mass Customer,No,13
51,234,Mead,Alpes,Female,71,Chief Design Engineer,Retail,High Net Worth,No,12
44,235,Leona,Phateplace,Female,30,Social Worker,Health,Mass Customer,No,15
66,236,Tybalt,Gillingwater,Male,79,Research Nurse,Health,Affluent Customer,No,14
46,237,Reginald,Dartan,Male,18,Account Coordinator,Property,High Net Worth,Yes,11
36,238,Max,Bilborough,Male,54,Programmer III,n/a,Mass Customer,Yes,14
28,239,Wells,Pressman,Male,62,Registered Nurse,Health,Affluent Customer,No,3
31,240,Gavin,Fawks,Male,49,Administrative Assistant III,IT,High Net Worth,Yes,15
33,241,Quillan,Duigan,Male,94,Quality Engineer,Entertainment,Mass Customer,No,20
28,242,Taite,Droghan,Male,17,Nurse,Property,Affluent Customer,No,8
44,243,Barbara,Croxley,Female,94,Teacher,Manufacturing,High Net Worth,Yes,14
46,244,Germayne,Sperry,Male,57,,Retail,Affluent Customer,No,8
19,245,Noell,Grahlmans,Female,6,Associate Professor,Financial Services,Affluent Customer,No,1
29,246,Binny,Whight,Female,63,Technical Writer,Manufacturing,High Net Worth,No,9
37,247,Kristal,Joysey,Female,62,Staff Accountant II,Financial Services,High Net Worth,Yes,13
42,248,Inger,Eskell,Female,76,Clinical Specialist,Health,Affluent Customer,Yes,12
28,249,D'arcy,Slay,Male,65,Quality Control Specialist,IT,High Net Worth,No,9
32,250,Kristofer,,Male,53,Legal Assistant,Health,Mass Customer,Yes,13
43,251,Mala,,Female,88,VP Sales,Financial Services,Affluent Customer,Yes,10
37,252,Anthea,Ruskin,Female,39,Account Coordinator,Property,Mass Customer,Yes,13
23,253,Amalee,Choak,Female,82,Food Chemist,Health,Mass Customer,Yes,1
59,254,Barbie,Rubi,Female,98,Information Systems Manager,Retail,Mass Customer,No,14
66,255,Keeley,Kruger,Female,2,Desktop Support Technician,IT,Mass Customer,No,5
45,256,Linell,Beadle,Female,16,Director of Sales,Health,High Net Worth,Yes,21
54,257,Marissa,,Female,70,Sales Associate,Manufacturing,Affluent Customer,Yes,19
28,258,Othella,Keher,Female,24,Administrative Officer,Manufacturing,High Net Worth,No,9
37,259,Venita,Dymick,Female,70,Senior Developer,Health,High Net Worth,Yes,3
41,260,Farand,Marriner,Female,47,Senior Quality Engineer,Health,High Net Worth,Yes,22
43,261,Marve,Pryn,Male,74,Structural Engineer,n/a,Mass Customer,No,8
43,262,Cordie,Petrelli,Male,97,,Health,High Net Worth,Yes,10
35,263,Tonia,Leigh,Female,89,Dental Hygienist,Health,High Net Worth,No,7
43,264,Jedd,Spiby,Male,31,Technical Writer,Health,Mass Customer,No,11
55,265,Pennie,Stoile,Male,74,Sales Representative,Retail,High Net Worth,Yes,18
31,266,Lelia,Garatty,Female,69,Account Executive,Retail,Affluent Customer,No,18
42,268,Kacie,Kidston,Female,60,Chemical Engineer,Manufacturing,Mass Customer,No,10
66,269,Zacherie,Grindley,Male,55,Nurse Practicioner,Property,Mass Customer,Yes,9
50,270,Auberta,Roundtree,Female,38,Budget/Accounting Analyst III,n/a,Mass Customer,Yes,17
29,271,Doll,Burtwell,Female,51,Financial Advisor,Financial Services,Mass Customer,No,4
33,272,Arlie,Crean,Female,22,Product Engineer,Retail,Mass Customer,Yes,1
57,273,Nevile,Abraham,Male,54,Computer Systems Analyst IV,n/a,Mass Customer,No,19
44,274,Tessi,Hesse,Female,66,Social Worker,Health,Mass Customer,Yes,14
65,275,Dud,,Male,7,VP Sales,Health,High Net Worth,No,13
30,276,Goldi,Dwine,Female,47,,Financial Services,Mass Customer,No,22
64,277,Jehanna,Alvarado,Female,69,VP Product Management,n/a,High Net Worth,No,15
23,278,Sydney,Georger,Male,22,Executive Secretary,n/a,Affluent Customer,Yes,4
39,279,Tamera,Hinckes,Female,0,Web Designer I,Manufacturing,Mass Customer,No,11
25,280,Welch,MacAllaster,Male,15,Geologist I,n/a,Affluent Customer,Yes,5
48,281,Jeanette,Sizzey,Female,51,Cost Accountant,Financial Services,High Net Worth,Yes,8
31,282,Lauren,Curcher,Male,82,VP Quality Control,Argiculture,High Net Worth,Yes,11
29,283,Sari,Noye,Female,34,Assistant Manager,Retail,Mass Customer,No,2
34,284,Seth,Moorman,Male,38,Financial Analyst,Financial Services,High Net Worth,Yes,9
43,285,Julee,Janovsky,Female,3,Community Outreach Specialist,Manufacturing,Mass Customer,No,12
31,286,Kiley,Canaan,Male,99,Accounting Assistant II,Manufacturing,Affluent Customer,Yes,11
35,287,Hannie,Wodham,Female,41,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,4
35,288,Ebenezer,Seedman,Male,71,,Manufacturing,High Net Worth,No,9
50,289,Modestia,Lithgow,Female,43,Clinical Specialist,Health,High Net Worth,No,10
49,291,Aime,Burston,Female,63,Assistant Media Planner,Entertainment,Mass Customer,No,4
59,292,Gelya,Gerant,Female,42,VP Product Management,n/a,Affluent Customer,Yes,9
31,293,Virgilio,Willcocks,Male,80,Administrative Assistant III,Manufacturing,Mass Customer,Yes,20
61,294,Magnum,Slowan,Male,39,Recruiting Manager,n/a,High Net Worth,No,5
56,295,Lena,Chape,Female,64,Database Administrator II,n/a,Mass Customer,Yes,18
48,296,Marshal,Rathbone,Male,34,,Health,High Net Worth,Yes,17
61,297,Cecile,MacLise,Female,33,Electrical Engineer,Manufacturing,High Net Worth,No,16
64,298,Maurise,Lenglet,Male,69,Engineer I,Manufacturing,High Net Worth,No,9
64,299,Corabelle,Hartnell,Female,80,Budget/Accounting Analyst I,Financial Services,Mass Customer,Yes,7
64,300,Malachi,Hadcroft,Male,88,Clinical Specialist,Health,Mass Customer,No,9
40,301,Hildy,Bilbrook,Female,54,Developer IV,Manufacturing,High Net Worth,No,19
43,302,Laurice,Colgrave,Female,32,,Health,Mass Customer,No,13
46,303,Shane,Smetoun,Female,59,Assistant Professor,Argiculture,Mass Customer,Yes,14
51,304,Paddy,Mumbray,Male,36,VP Marketing,Manufacturing,Mass Customer,Yes,15
46,305,Cris,Chellam,Female,1,Financial Analyst,Financial Services,Mass Customer,No,11
47,306,Ruy,Adanet,Male,19,Registered Nurse,Health,High Net Worth,No,18
36,307,Ruben,Handlin,Male,55,Clinical Specialist,Health,Affluent Customer,Yes,12
37,308,Iver,Dobsons,Male,2,Database Administrator I,IT,High Net Worth,No,4
46,309,Maurizia,Ligerton,Female,53,Clinical Specialist,Health,Mass Customer,Yes,21
35,310,Myranda,Clowser,Female,0,Account Coordinator,Financial Services,Mass Customer,Yes,18
63,311,Jaimie,Halms,Female,86,Internal Auditor,Health,High Net Worth,No,12
62,312,Garek,Prattin,Male,44,Desktop Support Technician,Financial Services,Affluent Customer,Yes,6
33,313,Theo,McKune,Male,70,Operator,Manufacturing,Mass Customer,Yes,13
58,314,Catie,Advani,Female,27,Marketing Assistant,Retail,High Net Worth,Yes,5
62,315,Lisa,Odlin,Female,67,Chief Design Engineer,Manufacturing,Affluent Customer,No,12
44,316,Genni,Larway,Female,72,Environmental Specialist,Manufacturing,Mass Customer,Yes,10
46,317,Elicia,Dahler,Female,26,Automation Specialist II,Entertainment,Mass Customer,Yes,14
51,318,Libbie,Castelin,Female,21,Programmer III,Retail,Affluent Customer,Yes,18
49,319,Madelle,Matteris,Female,32,,Retail,Mass Customer,Yes,14
23,320,Aldous,Cubin,Male,19,Registered Nurse,Health,Mass Customer,No,4
47,321,Christean,Finnes,Female,58,Marketing Manager,n/a,Mass Customer,No,18
43,322,De,Denington,Female,19,Research Associate,Financial Services,Mass Customer,Yes,11
47,323,Celka,Goodrich,Female,54,Senior Developer,Health,Mass Customer,Yes,7
34,324,Franz,Lyptrit,Male,97,Computer Systems Analyst I,IT,Mass Customer,Yes,15
