Profit,Age,Customer ID,First Name,Last Name,Gender,Purchase History,Job Title,Industry,Customer Segment,Car,Tenure,Transaction ID,Product ID,Date,Online,Status,Brand,Product Line,Product Class,Size,List Price,Cost
110.81,42,1582,Francesco,Wasson,Male,32,Office Assistant III,Property,Mass Customer,No,4,21,27,09-10-2017,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
1544.61,47,595,Nikola,Jeanon,Male,72,VP Marketing,Financial Services,Mass Customer,No,22,22,37,29-06-2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
1544.61,43,2001,Mada,Martinho,Female,21,Analog Circuit Design manager,Manufacturing,Mass Customer,Yes,3,23,37,08-04-2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
709.34,31,515,Winna,Verny,Female,55,Help Desk Operator,IT,High Net Worth,No,8,24,82,18-10-2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
1305.25,39,2822,Rebecca,Shaughnessy,Female,83,Professor,n/a,Mass Customer,No,3,25,89,11-06-2017,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
872.89,44,2596,Lexis,Deason,Female,51,Assistant Professor,n/a,Affluent Customer,Yes,13,26,64,10-01-2017,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
872.89,49,2666,Lyle,Eager,Male,2,Occupational Therapist,Health,Mass Customer,No,9,27,64,11-04-2017,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
114.93,42,76,Rea,Hasser,Female,20,Statistician II,Retail,High Net Worth,Yes,18,28,19,23-12-2017,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71
90.1,53,3368,Tanya,Boddis,Female,7,Technical Writer,Financial Services,Affluent Customer,No,16,29,72,13-10-2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3
128.46,42,1173,Gertie,Chaim,Female,58,Statistician IV,Retail,High Net Worth,No,16,30,91,15-03-2017,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85
817.36,59,2810,Malvin,Burchill,Male,27,,Property,Mass Customer,Yes,15,31,88,05-09-2017,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1
448.68,27,3214,Cindelyn,Balas,Female,2,Software Engineer III,Financial Services,Mass Customer,Yes,9,32,1,18-02-2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
709.34,35,1272,Nettie,Bulfit,Female,2,,Manufacturing,Affluent Customer,No,17,33,25,20-03-2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
189.28,58,2003,Lilli,Hargey,Female,80,Statistician III,Manufacturing,High Net Worth,Yes,8,34,99,28-02-2017,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42
167.21,50,2171,Laryssa,Maes,Female,21,Pharmacist,Health,High Net Worth,No,10,35,0,20-08-2017,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
155.65,61,3356,Dill,Bampford,Male,47,Safety Technician II,Financial Services,Mass Customer,Yes,6,36,92,07-07-2017,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36
737.17,45,1040,Jacenta,Wedlock,Female,78,Food Chemist,Health,High Net Worth,No,9,37,14,09-01-2017,False,Approved,Solex,Standard,high,large,1842.92,1105.75
17.87,51,2916,Lauren,Adolfson,Male,23,Product Engineer,Manufacturing,Affluent Customer,Yes,9,38,2,06-12-2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62
1069.55,24,427,Giusto,Torbett,Male,77,Assistant Media Planner,Entertainment,Mass Customer,Yes,2,39,12,12-09-2017,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6
167.21,28,2448,Lorri,Iston,Female,5,Structural Analysis Engineer,Property,High Net Worth,No,10,40,0,28-11-2017,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
1660.88,43,2570,Hirsch,Peele,Male,13,Professor,Financial Services,Mass Customer,Yes,18,41,44,08-05-2017,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
1408.91,49,3398,Alberik,Looks,Male,69,,n/a,High Net Worth,Yes,7,42,79,14-05-2017,False,Approved,Solex,Touring,medium,large,2083.94,675.03
128.46,40,488,Domini,Ghelerdini,Female,24,Help Desk Operator,Property,Mass Customer,Yes,10,43,76,17-03-2017,False,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85
1215.34,36,165,Aldon,Roelofs,Male,61,Administrative Officer,Argiculture,Mass Customer,Yes,12,44,46,22-12-2017,False,Approved,Solex,Standard,low,medium,1289.85,74.51
1295.43,40,2787,Teressa,Tague,Female,92,Marketing Assistant,n/a,Affluent Customer,Yes,6,45,55,07-06-2017,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76
574.62,36,3053,Susie,,Female,67,Account Coordinator,Retail,High Net Worth,No,17,46,66,20-06-2017,False,Approved,Solex,Standard,medium,medium,1163.89,589.27
903.11,24,475,Vernor,,Male,0,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,1,47,35,07-05-2017,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4
502.47,50,1305,Averil,Gentiry,Male,97,Executive Secretary,Financial Services,High Net Worth,Yes,6,48,81,10-06-2017,True,Approved,Solex,Standard,medium,medium,1151.96,649.49
110.56,23,1251,Codie,Arnecke,Male,63,Desktop Support Technician,Property,Mass Customer,No,2,49,86,17-06-2017,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
431.33,67,3103,Shaylah,Hatchell,Female,5,Safety Technician II,Retail,Mass Customer,No,20,50,32,10-05-2017,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37
445.21,53,3108,Trip,Ahmed,Male,94,Accounting Assistant III,Entertainment,Mass Customer,No,10,51,77,24-03-2017,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1
641.64,56,857,Theo,,Female,15,General Manager,n/a,High Net Worth,No,4,52,96,27-11-2017,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66
91.15,66,3455,Coop,Skey,Male,29,Administrative Officer,n/a,Mass Customer,Yes,11,53,6,21-12-2017,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73
110.81,22,2549,Mike,Geggus,Male,12,Pharmacist,Health,Mass Customer,Yes,4,54,27,09-02-2017,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
72.6,35,3140,Britt,Muddimer,Female,2,Legal Assistant,Manufacturing,High Net Worth,No,16,55,0,18-09-2017,False,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41
189.28,41,3406,Lucy,Lackmann,Female,35,Business Systems Development Analyst,IT,Mass Customer,Yes,10,56,47,14-11-2017,False,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42
641.64,33,2294,Skipton,Cordie,Male,25,Associate Professor,Manufacturing,Mass Customer,No,21,57,94,30-08-2017,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66
25.09,37,1031,Roi,Ogden,Male,75,Junior Executive,Manufacturing,Mass Customer,No,6,58,91,14-11-2017,False,Approved,Solex,Standard,medium,medium,100.35,75.26
583.27,43,993,Reine,Semken,Female,71,Account Coordinator,Argiculture,High Net Worth,No,17,59,93,15-02-2017,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9
4.8,33,1839,Faythe,Rance,Female,60,Internal Auditor,Entertainment,High Net Worth,Yes,5,61,0,24-02-2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
144.26,61,1824,Robbie,Yakubovics,Female,12,Safety Technician III,Manufacturing,Affluent Customer,Yes,5,62,33,18-12-2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
448.68,34,368,Lacee,Roan,Female,32,,Financial Services,High Net Worth,No,6,63,35,17-12-2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
133.78,45,825,Willis,Whyler,Male,17,Computer Systems Analyst IV,n/a,Affluent Customer,Yes,16,65,28,16-05-2017,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36
110.56,26,3315,Ninnette,Pandey,Female,77,Account Executive,Property,Mass Customer,Yes,5,66,86,23-02-2017,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
17.87,42,75,Dollie,Sealy,Female,28,VP Product Management,Property,Mass Customer,No,19,67,2,03-07-2017,True,Approved,Solex,Standard,medium,medium,71.49,53.62
451.65,31,1498,Janot,McGougan,Female,84,Nurse,n/a,Affluent Customer,Yes,13,68,4,30-09-2017,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48
1702.55,33,1612,Wendel,Headland,Male,70,Community Outreach Specialist,Financial Services,High Net Worth,Yes,22,69,38,21-10-2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
110.81,54,2192,Hubie,Leipold,Male,93,Staff Accountant II,n/a,Mass Customer,No,14,70,27,06-05-2017,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
1279.4,39,419,Chrissie,Bernardini,Female,34,VP Marketing,Manufacturing,Affluent Customer,No,17,71,54,03-01-2017,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
1660.88,42,3307,Portia,Thirlwall,Female,96,Analyst Programmer,Health,High Net Worth,No,14,72,77,09-05-2017,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
15.08,52,2430,Humbert,Dikles,Male,38,Quality Engineer,n/a,Mass Customer,No,5,73,22,23-07-2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
45.96,62,1506,Andonis,Cochrane,Male,21,,Property,Mass Customer,No,17,74,56,21-01-2017,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9
771.12,50,1346,Woody,Dowthwaite,Male,9,Administrative Assistant IV,Telecommunications,Mass Customer,No,19,75,58,20-06-2017,False,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4
15.08,54,927,Jarret,,Male,25,Cost Accountant,Financial Services,Mass Customer,Yes,18,76,22,10-03-2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
43.97,33,763,Benita,Cuffley,Female,95,Computer Systems Analyst IV,Manufacturing,Affluent Customer,No,12,77,50,02-06-2017,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92
139.23,35,2397,Cassius,Birchenough,Male,33,Analyst Programmer,Retail,Affluent Customer,Yes,4,78,80,07-11-2017,False,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84
471.6,64,102,Langsdon,Tranfield,Male,51,Quality Control Specialist,Manufacturing,Affluent Customer,No,16,79,87,12-09-2017,True,Approved,Giant Bicycles,Standard,high,medium,1179,707.4
209.84,58,2884,Karola,Conneely,Female,99,Assistant Professor,n/a,Mass Customer,No,15,80,15,16-12-2017,False,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9
198.22,57,759,Mitchel,Schimek,Male,89,Clinical Specialist,Health,High Net Worth,No,13,81,84,07-10-2017,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
690.49,35,773,Robbie,Handaside,Male,77,,Financial Services,Affluent Customer,Yes,20,82,21,27-04-2017,True,Approved,Solex,Standard,medium,large,1071.23,380.74
110.56,49,3398,Alberik,Looks,Male,69,,n/a,High Net Worth,Yes,7,83,0,01-04-2017,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
144.26,45,3297,Addy,Moukes,Male,39,Product Engineer,Manufacturing,Mass Customer,No,13,84,33,02-11-2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
75.48,64,2434,Lenci,Soars,Male,40,Environmental Specialist,n/a,Affluent Customer,No,18,85,84,13-02-2017,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14
448.68,53,1861,Charlena,Muzzi,Female,26,Geological Engineer,Manufacturing,Mass Customer,Yes,8,86,1,19-07-2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
110.81,42,1233,Keeley,Hawsby,Female,17,,Retail,Affluent Customer,Yes,16,87,27,23-05-2017,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
547.28,20,1390,Christyna,Feldberg,Female,74,Accounting Assistant I,Retail,High Net Worth,Yes,1,88,31,06-08-2017,False,Approved,WeareA2B,Standard,medium,medium,752.64,205.36
4.8,33,2682,Annamarie,Bouzan,Female,54,Accountant III,Manufacturing,High Net Worth,Yes,20,89,0,04-04-2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
179.44,46,439,Lida,Wych,Female,26,GIS Technical Architect,n/a,Affluent Customer,No,10,90,62,15-08-2017,True,Approved,Solex,Standard,medium,medium,478.16,298.72
409.86,42,1579,Madelaine,Siegertsz,Female,40,Desktop Support Technician,Financial Services,Affluent Customer,Yes,17,91,17,15-04-2017,True,Approved,Solex,Standard,high,medium,1024.66,614.8
1612.25,61,2984,Frances,Mishaw,Female,48,Payment Adjustment Coordinator,Manufacturing,Mass Customer,Yes,13,92,73,25-07-2017,True,Approved,Solex,Standard,medium,medium,1945.43,333.18
144.26,53,3470,Catherina,Ricca,Female,56,Recruiting Manager,Health,Affluent Customer,Yes,6,93,33,28-11-2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
110.56,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,94,86,23-12-2017,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
356.5,43,757,Kinsley,Klimus,Male,91,Environmental Tech,Financial Services,Mass Customer,No,18,95,45,26-02-2017,False,Approved,Solex,Standard,medium,medium,441.49,84.99
448.68,20,1778,Emera,Margrem,Female,72,Staff Accountant III,n/a,Mass Customer,Yes,2,96,1,21-02-2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
139.23,46,211,Beitris,,Female,6,VP Marketing,Manufacturing,Mass Customer,Yes,5,97,80,31-05-2017,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84
133.38,55,333,Debbi,Doohey,Female,25,Sales Associate,Financial Services,Affluent Customer,Yes,8,98,49,23-06-2017,,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13
41.13,25,32,Marion,Vanichkin,Female,17,Legal Assistant,Manufacturing,Affluent Customer,No,4,99,95,26-03-2017,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43
179.44,39,119,Willey,Chastanet,Male,9,Associate Professor,n/a,High Net Worth,Yes,9,100,0,31-07-2017,False,Approved,Solex,Standard,medium,medium,478.16,298.72
459.46,63,2347,L;urette,Annott,Female,79,Programmer Analyst I,n/a,High Net Worth,No,11,101,18,27-07-2017,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18
451.65,42,2353,Lyn,Luquet,Male,93,Health Coach IV,Health,Affluent Customer,Yes,12,102,4,14-04-2017,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48
144.26,56,788,Gregg,Townsend,Male,62,Social Worker,Health,Mass Customer,No,11,103,33,12-11-2017,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
1055.82,42,1468,Adaline,Hayles,Female,37,Financial Advisor,Financial Services,Mass Customer,No,22,104,78,12-09-2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
1305.25,39,821,Gregoor,Aronovitz,Male,41,Financial Analyst,Financial Services,Mass Customer,Yes,7,105,89,26-10-2017,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
198.29,44,2489,Emma,Mates,Female,42,Speech Pathologist,Retail,Mass Customer,No,15,106,70,15-02-2017,False,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43
737.57,22,2710,Flory,Standering,Male,77,,Retail,Mass Customer,No,2,107,79,22-12-2017,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01
1230.3,34,947,Hyacinth,Naldrett,Female,43,Pharmacist,Health,Mass Customer,No,10,108,26,11-10-2017,True,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63
1230.27,23,1335,Sibylla,Marlon,Female,57,,Entertainment,Mass Customer,Yes,3,109,39,27-03-2017,True,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48
437.46,20,1076,Siegfried,Trattles,Male,33,Pharmacist,Health,Affluent Customer,No,2,110,36,04-11-2017,False,Approved,Solex,Standard,low,medium,945.04,507.58
14.23,26,3320,Anabella,Mealham,Female,16,Nuclear Power Engineer,Manufacturing,High Net Worth,No,6,111,0,11-06-2017,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93
198.22,28,779,Maddy,Larrat,Female,1,Staff Accountant III,Health,High Net Worth,No,7,112,84,09-10-2017,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
143.36,46,3296,Leontyne,Jackett,Female,78,Quality Engineer,Financial Services,Affluent Customer,Yes,17,113,98,07-06-2017,True,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03
1010.02,29,455,Mile,Dionisii,Male,97,Civil Engineer,Manufacturing,Mass Customer,Yes,5,114,75,24-10-2017,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95
128.46,24,1779,Krishnah,Firmage,Male,55,Information Systems Manager,Argiculture,Affluent Customer,No,5,115,76,01-05-2017,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85
90.1,40,2703,Peria,Amis,Female,37,,Manufacturing,Affluent Customer,Yes,18,116,72,21-11-2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3
199.1,28,806,Carter,Kaesmakers,Male,66,Sales Representative,Retail,Mass Customer,Yes,7,117,42,24-03-2017,False,Approved,OHM Cycles,Road,medium,small,1810,1610.9
195.34,58,22,Deeanne,Durtnell,Female,79,,IT,Mass Customer,No,11,118,20,21-03-2017,False,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47
872.89,44,1591,Fonz,Jankin,Male,4,Operator,Manufacturing,Mass Customer,Yes,14,119,64,20-02-2017,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
198.29,25,678,Ambur,Symcoxe,Female,57,Accounting Assistant II,IT,High Net Worth,No,2,120,0,16-06-2017,False,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43
709.34,40,50,Whitby,Schapero,Male,38,Account Executive,Manufacturing,Mass Customer,Yes,16,121,25,04-12-2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
547.28,43,1453,Ahmed,,Male,54,Computer Systems Analyst I,Health,High Net Worth,No,13,123,31,05-03-2017,True,Approved,WeareA2B,Standard,medium,medium,752.64,205.36
693.76,42,1339,Mariam,Guiel,Female,82,Editor,IT,High Net Worth,No,14,124,98,21-03-2017,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
143.82,43,3382,Burk,Walczak,Male,90,Business Systems Development Analyst,n/a,High Net Worth,No,10,125,22,03-01-2017,True,Approved,Solex,Standard,medium,medium,575.27,431.45
693.76,35,773,Robbie,Handaside,Male,77,,Financial Services,Affluent Customer,Yes,20,126,53,01-04-2017,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
75.48,53,2503,Devlin,Laneham,Male,80,Budget/Accounting Analyst I,Health,Affluent Customer,Yes,10,127,84,16-03-2017,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14
709.34,51,1057,Laryssa,Durdle,Female,73,Registered Nurse,Health,Mass Customer,No,5,128,25,26-02-2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
43.97,41,1397,Dimitri,Durie,Male,29,Legal Assistant,Manufacturing,Mass Customer,Yes,14,129,50,05-06-2017,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92
1660.88,20,2134,Crosby,Ruoff,Male,16,Nurse,Manufacturing,Affluent Customer,No,2,130,44,04-09-2017,False,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
129.01,43,2403,Karalee,Tremlett,Female,41,Technical Writer,Financial Services,Affluent Customer,No,12,131,96,18-01-2017,True,Approved,WeareA2B,Road,low,small,1172.78,1043.77
1069.55,46,1937,Renaud,Gahagan,Male,69,Quality Engineer,Health,Mass Customer,No,19,132,12,28-09-2017,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6
834.94,40,1282,Garald,Pidler,Male,99,Programmer Analyst III,Entertainment,Affluent Customer,Yes,14,133,93,02-09-2017,True,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09
1055.82,48,2183,Jillie,Fyndon,Female,61,Programmer Analyst IV,Manufacturing,Mass Customer,Yes,7,134,78,09-05-2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
198.22,56,1788,Anna-diana,Kurten,Female,79,Account Representative IV,Financial Services,High Net Worth,Yes,10,135,84,17-10-2017,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
1028.76,56,1170,Lari,Rotte,Female,62,Assistant Professor,IT,Mass Customer,Yes,4,136,65,25-04-2017,True,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69
,64,431,Gale,Done,Male,8,Research Nurse,Health,Affluent Customer,Yes,18,137,0,23-09-2017,False,Approved,,,,,1942.61,
834.94,43,1940,Gabriellia,Coulter,Female,52,Teacher,Manufacturing,High Net Worth,Yes,8,138,29,02-08-2017,False,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09
471.6,46,2073,Linea,,Female,87,,Manufacturing,High Net Worth,Yes,10,139,32,25-03-2017,False,Cancelled,Giant Bicycles,Standard,high,medium,1179,707.4
509.97,60,462,Melany,Thorrington,Female,32,,Manufacturing,Affluent Customer,Yes,5,140,11,01-01-2017,False,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96
1612.25,61,2728,Imojean,Atyeo,Female,55,Physical Therapy Assistant,IT,High Net Worth,No,19,141,10,22-12-2017,False,Approved,Solex,Standard,medium,medium,1945.43,333.18
1215.34,42,2053,Horatius,Dufton,Male,7,,Financial Services,Affluent Customer,Yes,11,142,46,25-12-2017,False,Approved,Solex,Standard,low,medium,1289.85,74.51
217.51,40,2135,Teador,Laurant,Male,97,Structural Engineer,n/a,Mass Customer,Yes,15,143,60,26-01-2017,True,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85
1630.25,52,1217,Dulcinea,Janssen,Female,67,Structural Engineer,Manufacturing,High Net Worth,No,16,144,92,20-12-2017,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14
745.94,46,2992,Crystal,Assur,Female,26,Clinical Specialist,Health,Mass Customer,Yes,10,145,7,07-06-2017,True,Approved,Trek Bicycles,Road,low,medium,980.37,234.43
104.24,45,3261,Benedicto,Blumire,Male,6,,Property,Mass Customer,Yes,5,146,41,06-04-2017,True,Approved,Solex,Road,medium,medium,416.98,312.74
167.21,53,2748,Dolorita,Dufaur,Female,96,Quality Engineer,Financial Services,Mass Customer,No,4,147,67,25-04-2017,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
152.55,61,3262,Maynord,L'Episcopi,Male,65,Product Engineer,Entertainment,Mass Customer,No,12,148,14,13-01-2017,False,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29
1305.25,56,788,Gregg,Townsend,Male,62,Social Worker,Health,Mass Customer,No,11,149,89,21-03-2017,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
75.14,29,3067,Veronique,Wash,Female,8,Chief Design Engineer,Manufacturing,Mass Customer,Yes,9,150,9,21-11-2017,True,Approved,OHM Cycles,Road,medium,medium,742.54,667.4
57.73,64,701,Ransell,Ruler,Male,18,Food Chemist,Health,Mass Customer,Yes,8,151,31,11-11-2017,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18
155.65,42,648,Gardiner,Nutley,Male,86,Accountant II,Financial Services,Mass Customer,Yes,9,152,92,16-10-2017,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36
1544.61,59,3286,Kent,Hatter,Male,23,Assistant Media Planner,Entertainment,Mass Customer,No,20,153,37,19-08-2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
1702.55,38,3383,Dane,Swansbury,Male,47,Financial Analyst,Financial Services,Affluent Customer,Yes,10,154,3,06-04-2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
75.75,60,982,Tibold,Bonwell,Male,14,Geologist III,Health,High Net Worth,Yes,6,155,56,04-11-2017,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88
